seed,dq,dp,de,dgf,dgm,dg1,dg2,dg3,dg4,pf,pm,p1,p2,p3,p4,blue_daf,blue_dam,blue_da1,blue_da2,blue_da3,blue_da4,pink_daf,pink_dam,pink_da1,pink_da2,pink_da3,pink_da4,blue_laf,blue_lam,blue_la1,blue_la2,blue_la3,blue_la4,pink_laf,pink_lam,pink_la1,pink_la2,pink_la3,pink_la4,pedid,xr1,blue_recomb,x1,xr2,pink_recomb,x2,x
1123667623,0.4,0.6,0.1,2,1,2,2,1,1,-0.032300125,-0.596759232,0.0612339968,-0.120941496,-0.63501887,-0.623997006,2,1,2,2,1,1,1,1,1,1,1,1,5,3,5,3,3,5,3,5,3,3,5,3,604,0.1153911716,1,0.7674306453,0.1763660536,1,0.5340369225,-0.239970063
499277063,0.4,0.6,0.1,1,2,2,1,1,1,-0.797997199,-0.064304184,-0.244057331,-0.601976106,-0.614594705,-0.583079866,1,2,1,1,1,1,1,1,2,1,1,1,4,1,2,4,2,2,2,5,5,5,5,5,605,0.703338256,0,0.7371652335,0.6862043593,0,0.8166910619,0.1692013369
1653935523,0.4,0.6,0.1,3,3,3,3,3,3,0.6710819088,0.7379175958,0.8482509268,0.7792387769,0.74187959,0.8108521395,2,2,2,2,2,2,2,2,2,2,2,2,2,1,5,5,2,2,5,3,3,3,3,1,606,0.4316068336,0,0.2877518308,0.2428541701,1,0.6280198026,0.1085213951
1687566965,0.4,0.6,0.1,2,3,3,3,2,3,-0.076858966,0.894778635,0.8381983371,0.7445162296,0.0940771044,0.8296116015,2,2,2,2,1,2,1,2,2,2,2,2,5,5,5,5,5,5,2,3,3,5,5,5,607,0.5150353622,0,0.4296349615,0.6331983589,0,0.4608404424,0.2961160145
1509947898,0.4,0.6,0.1,2,2,1,2,1,3,-0.107186703,0.1123235343,-0.656733742,0.0475919473,-0.541003188,0.7846745757,1,1,1,2,1,2,2,2,1,1,1,2,5,5,5,5,5,5,5,3,5,3,5,3,608,0.0720193172,1,0.6472283581,0.6097482609,0,0.5260164158,-0.153254243
102232632,0.4,0.6,0.1,1,1,1,1,1,1,-0.512082897,-0.627085633,-0.54761558,-0.516138808,-0.655790968,-0.535980922,1,1,1,1,1,1,1,1,1,1,1,1,4,2,2,2,4,2,2,5,5,2,2,2,609,0.3629788479,1,0.4079381993,0.8640225953,0,0.1532957759,0.6401907841
1869264833,0.4,0.6,0.1,2,2,2,3,2,2,-0.144568164,0.0034068337,0.0759543832,0.927601344,0.0658217674,0.1018030944,1,2,1,2,2,1,2,1,2,2,1,2,1,3,1,2,2,2,2,5,3,3,5,3,610,0.3167424609,1,0.1958603394,0.6697944965,0,0.1328673121,1.0180309436
432632808,0.4,0.6,0.1,1,1,1,1,1,1,-0.625993819,-0.449528379,-0.675913202,-0.586376938,-0.682541021,-0.537781393,1,1,1,1,1,1,1,1,1,1,1,1,5,1,4,4,5,4,4,6,1,1,1,1,611,0.6399630032,0,0.8690306306,0.2939344218,1,0.6868952567,0.6221860684
1305228178,0.4,0.6,0.1,2,1,2,1,1,2,-0.193361337,-0.606928421,-0.063786066,-0.779189275,-0.685326761,-0.056751348,2,1,2,1,1,2,1,1,1,1,1,1,2,3,3,2,2,2,3,1,3,3,3,1,612,0.9010815671,0,0.48738333,0.0242030136,1,0.104942523,-0.567513479
365356758,0.4,0.6,0.1,2,3,3,3,2,3,0.0381117929,0.8072946306,0.8542173101,0.7432653539,0.1503447216,0.8548633118,1,2,2,2,1,2,2,2,2,2,2,2,4,1,2,2,4,2,2,6,1,1,1,6,613,0.7604066682,0,0.7085285446,0.6381562616,0,0.7161746136,0.5486331179
1153671491,0.4,0.6,0.1,2,1,2,1,2,2,0.2281174168,-0.641940489,0.0360495688,-0.534850383,-0.015687239,-0.133652651,2,1,2,1,2,2,1,1,1,1,1,1,2,6,2,1,2,1,1,3,6,6,3,6,614,0.1788159442,1,0.110127837,0.7129244775,0,0.1800151873,-1.336526514
601822154,0.4,0.6,0.1,3,2,3,2,2,2,0.7598719885,-0.033265935,0.9925314001,-0.283202624,-0.010098852,-0.031494607,2,1,2,2,2,2,2,2,2,1,1,1,3,3,3,3,6,3,6,6,6,6,3,3,615,0.8030103742,0,0.1630283157,0.440677996,0,0.146410415,-0.314946067
1275515537,0.4,0.6,0.1,1,2,2,1,2,2,-0.705323791,-0.017676135,-0.177598889,-0.630195606,0.1889642197,-0.069540405,1,1,1,1,1,1,1,2,2,1,2,2,1,1,1,4,4,1,4,3,3,3,3,3,616,0.8729957383,0,0.3158196627,0.981019354,0,0.682520978,-0.695404045
945425848,0.4,0.6,0.1,1,2,1,1,2,2,-0.641162991,-0.113287492,-0.644402016,-0.342627466,0.1146440272,-0.095752533,1,2,1,1,1,1,1,1,1,1,2,2,3,1,3,3,3,3,3,5,5,1,1,1,617,0.212741085,1,0.9087357353,0.4250252975,0,0.2311922182,-0.957525327
1144148129,0.4,0.6,0.1,2,2,2,2,1,2,-0.043872689,0.1408117989,-0.041340047,-0.081910734,-0.604814653,-0.267039319,1,1,1,2,1,1,2,2,2,1,1,2,4,3,2,4,2,4,2,3,3,3,3,3,618,0.4240522894,0,0.4272601676,0.7857800805,0,0.9560127067,-2.67039319
1116716997,0.4,0.6,0.1,2,2,2,2,3,2,0.0595106916,0.1029694105,-0.091346667,0.0059239704,0.9234920727,-0.135427931,1,1,2,2,2,1,2,2,1,1,2,2,5,6,5,5,5,5,5,3,3,3,3,6,619,0.0011477056,1,0.3616265,0.2856022717,1,0.5709079912,-1.354279305
835427206,0.4,0.6,0.1,1,2,2,2,1,1,-0.629129834,-0.076437712,-0.10834325,-0.129267464,-0.684639552,-0.646974864,1,2,1,1,1,1,1,1,2,2,1,1,3,3,3,2,3,3,2,4,4,3,3,3,620,0.9076600582,0,0.073698876,0.2681268609,1,0.8415765897,-0.469748641
140755968,0.4,0.6,0.1,2,1,2,2,2,2,0.0561044233,-0.44209021,0.1342794967,-0.067102502,-0.035064969,0.0911013513,2,1,2,2,2,2,1,1,1,1,1,1,6,2,6,6,6,6,4,2,2,2,2,2,621,0.9494698238,0,0.155678826,0.032770053,1,0.225362009,0.911013513
958506353,0.4,0.6,0.1,1,1,1,1,1,1,-0.620532997,-0.672544813,-0.444580628,-0.556140448,-0.612490998,-0.686458846,1,1,1,1,1,1,1,1,1,1,1,1,2,3,3,2,2,2,3,3,3,3,3,3,622,0.4184576964,0,0.1795345313,0.83959905,0,0.9948363565,-0.864588459
